meting_nummer,tijd_unix_ms,testwaarde,round_trip_seconden
1,1743768845075,733,0.016033411026000977
2,1743768845192,850,0.015323877334594727
3,1743768845308,966,0.01501154899597168
4,1743768845424,1082,0.013858556747436523
5,1743768845539,1197,0.014249563217163086
6,1743768845654,1312,0.01443028450012207
7,1743768845769,1427,0.014231681823730469
8,1743768845884,1542,0.014737606048583984
9,1743768846000,1658,0.014540433883666992
10,1743768846115,1773,0.014664173126220703
11,1743768846230,1888,0.014452695846557617
12,1743768846346,2004,0.01467752456665039
13,1743768846462,2120,0.015201091766357422
14,1743768846578,2236,0.014871597290039062
15,1743768846694,2352,0.014882802963256836
16,1743768846810,2468,0.014530658721923828
17,1743768846925,2583,0.014253854751586914
18,1743768847040,2698,0.01452183723449707
19,1743768847155,2813,0.01574540138244629
20,1743768847272,2930,0.014686822891235352
21,1743768847387,3045,0.014156341552734375
22,1743768847502,3160,0.014552116394042969
23,1743768847617,3275,0.014158964157104492
24,1743768847732,3390,0.014051437377929688
25,1743768847847,3505,0.014044523239135742
26,1743768847962,3620,0.014567136764526367
27,1743768848078,3736,0.01717090606689453
28,1743768848196,3854,0.015039443969726562
29,1743768848312,3970,0.014352083206176758
30,1743768848427,4085,0.015002727508544922
31,1743768848543,4201,0.01507711410522461
32,1743768848659,4317,0.013337373733520508
33,1743768848773,4431,0.014590024948120117
34,1743768848889,4547,0.015010595321655273
35,1743768849005,4663,0.01465296745300293
36,1743768849121,4779,0.014529943466186523
37,1743768849236,4894,0.014265060424804688
38,1743768849351,5009,0.013914823532104492
39,1743768849466,5124,0.014672279357910156
40,1743768849582,5240,0.013557195663452148
41,1743768849696,5354,0.014094352722167969
42,1743768849811,5469,0.014548301696777344
43,1743768849926,5584,0.014012813568115234
44,1743768850041,5699,0.014108657836914062
45,1743768850156,5814,0.014305591583251953
46,1743768850271,5929,0.014756202697753906
47,1743768850386,6044,0.014008045196533203
48,1743768850501,6159,0.014612436294555664
49,1743768850616,6274,0.01415872573852539
50,1743768850731,6389,0.013749837875366211
51,1743768850846,6504,0.014570951461791992
52,1743768850962,6620,0.014966011047363281
53,1743768851078,6736,0.013829708099365234
54,1743768851192,6850,0.01427316665649414
55,1743768851307,6965,0.014522790908813477
56,1743768851423,7081,0.014444112777709961
57,1743768851538,7196,0.015048742294311523
58,1743768851654,7312,0.014430999755859375
59,1743768851769,7427,0.01390528678894043
60,1743768851884,7542,0.015428304672241211
61,1743768852000,7658,0.013943910598754883
62,1743768852115,7773,0.015154123306274414
63,1743768852231,7889,0.014432668685913086
64,1743768852346,8004,0.01440739631652832
65,1743768852462,8120,0.014546871185302734
66,1743768852577,8235,0.014225959777832031
67,1743768852692,8350,0.014479875564575195
68,1743768852807,8465,0.01335763931274414
69,1743768852921,8579,0.013379096984863281
70,1743768853035,8693,0.013764142990112305
71,1743768853149,8807,0.013482093811035156
72,1743768853264,8922,0.014363288879394531
73,1743768853379,9037,0.01491689682006836
74,1743768853495,9153,0.013761281967163086
75,1743768853610,9268,0.021925926208496094
76,1743768853733,9391,0.01503753662109375
77,1743768853849,9507,0.014606237411499023
78,1743768853965,9623,0.014413118362426758
79,1743768854080,9738,0.014230012893676758
80,1743768854195,9853,0.014036178588867188
81,1743768854310,9968,0.01566338539123535
82,1743768854427,10085,0.01426553726196289
83,1743768854542,10200,0.014942407608032227
84,1743768854658,10316,0.014192819595336914
85,1743768854773,10431,0.014644861221313477
86,1743768854888,10546,0.015374898910522461
87,1743768855004,10662,0.013730764389038086
88,1743768855119,10777,0.015028953552246094
89,1743768855235,10893,0.015041589736938477
90,1743768855351,11009,0.01451873779296875
91,1743768855466,11124,0.015447139739990234
92,1743768855583,11241,0.015367746353149414
93,1743768855699,11357,0.014376163482666016
94,1743768855814,11472,0.014914989471435547
95,1743768855930,11588,0.014119386672973633
96,1743768856045,11703,0.01415109634399414
97,1743768856159,11817,0.013649463653564453
98,1743768856274,11932,0.013362884521484375
99,1743768856388,12046,0.01339101791381836
100,1743768856501,12159,0.013724088668823242
