meting_nummer,tijd_unix_ms,testwaarde,round_trip_seconden
1,1743769359931,24084,0.060235023498535156
2,1743769360092,24245,0.05186653137207031
3,1743769360244,24397,0.05153942108154297
4,1743769360396,24549,0.05361485481262207
5,1743769360551,24704,0.06070303916931152
6,1743769360712,24865,0.055464982986450195
7,1743769360868,25021,0.0511474609375
8,1743769361020,25173,0.05239510536193848
9,1743769361172,25325,0.05176806449890137
10,1743769361325,25478,0.051271915435791016
11,1743769361477,25630,0.052646636962890625
12,1743769361630,25783,0.052220821380615234
13,1743769361783,25936,0.051284074783325195
14,1743769361935,26088,0.05152320861816406
15,1743769362087,26240,0.05144453048706055
16,1743769362239,26392,0.05262351036071777
17,1743769362392,26545,0.05148124694824219
18,1743769362544,26697,0.05169177055358887
19,1743769362697,26850,0.052232980728149414
20,1743769362849,27002,0.051712989807128906
21,1743769363002,27155,0.05104494094848633
22,1743769363153,27306,0.05171990394592285
23,1743769363306,27459,0.05125117301940918
24,1743769363458,27611,0.05235719680786133
25,1743769363610,27763,0.05194544792175293
26,1743769363763,27916,0.052054405212402344
27,1743769363915,28068,0.05227184295654297
28,1743769364068,28221,0.05178523063659668
29,1743769364220,28373,0.05161023139953613
30,1743769364372,28525,0.05150461196899414
31,1743769364524,28677,0.05135631561279297
32,1743769364676,28829,0.05228567123413086
33,1743769364829,28982,0.05159926414489746
34,1743769364981,29134,0.05154275894165039
35,1743769365134,29287,0.05223417282104492
36,1743769365286,29439,0.0526432991027832
37,1743769365440,29592,0.051460981369018555
38,1743769365591,29744,0.051432132720947266
39,1743769365743,29896,0.051691293716430664
40,1743769365896,30049,0.05221438407897949
41,1743769366049,30202,0.05154085159301758
42,1743769366201,30354,0.05229926109313965
43,1743769366354,30507,0.052521705627441406
44,1743769366507,30660,0.05171775817871094
45,1743769366659,30812,0.05239295959472656
46,1743769366812,30965,0.05176258087158203
47,1743769366964,31117,0.05199384689331055
48,1743769367117,31270,0.05208134651184082
49,1743769367270,31423,0.05090069770812988
50,1743769367421,31574,0.05246448516845703
51,1743769367574,31727,0.051647186279296875
52,1743769367726,31879,0.05157184600830078
53,1743769367878,32031,0.05165815353393555
54,1743769368031,32184,0.05213189125061035
55,1743769368184,32337,0.050965309143066406
56,1743769368335,32488,0.06276512145996094
57,1743769368499,32652,0.05601167678833008
58,1743769368656,42,0.05222177505493164
59,1743769368809,195,0.051305294036865234
60,1743769368961,347,0.05286526679992676
61,1743769369114,500,0.05826306343078613
62,1743769369274,660,0.052153587341308594
63,1743769369426,812,0.05168914794921875
64,1743769369579,965,0.05221891403198242
65,1743769369731,1117,0.05254864692687988
66,1743769369885,1271,0.053171634674072266
67,1743769370038,1424,0.057756900787353516
68,1743769370197,1583,0.051483869552612305
69,1743769370349,1735,0.052358150482177734
70,1743769370502,1888,0.05167675018310547
71,1743769370654,2040,0.052597761154174805
72,1743769370807,2193,0.05099129676818848
73,1743769370958,2344,0.051372528076171875
74,1743769371110,2496,0.052471160888671875
75,1743769371263,2649,0.065338134765625
76,1743769371430,2816,0.058632850646972656
77,1743769371589,2975,0.05165266990661621
78,1743769371741,3127,0.05233931541442871
79,1743769371894,3280,0.05149245262145996
80,1743769372046,3432,0.050508975982666016
81,1743769372197,3583,0.05502939224243164
82,1743769372353,3739,0.05710959434509277
83,1743769372511,3897,0.058969974517822266
84,1743769372670,4056,0.05217885971069336
85,1743769372823,4209,0.05536913871765137
86,1743769372979,4365,0.05823826789855957
87,1743769373138,4524,0.05502653121948242
88,1743769373294,4680,0.052510738372802734
89,1743769373447,4833,0.05132794380187988
90,1743769373599,4985,0.052477359771728516
91,1743769373752,5138,0.05951213836669922
92,1743769373912,5298,0.05139350891113281
93,1743769374064,5450,0.05259990692138672
94,1743769374218,5604,0.058269500732421875
95,1743769374377,5763,0.05110025405883789
96,1743769374529,5915,0.051947593688964844
97,1743769374681,6067,0.05270791053771973
98,1743769374835,6221,0.0513916015625
99,1743769374987,6373,0.051218509674072266
100,1743769375139,6525,0.052561044692993164
