Sample,X(ms) [11.04.2025 12:01:43 772 UTC],"CycleTimeMeasurement.CycleTimeInfo"
5,1744372897904.400523,48347120
6,1744372897951.959141,47638733
7,1744372897994.179652,47558893
8,1744372898032.395670,42218987
9,1744372898077.254577,38218062
10,1744372898113.396381,44851409
11,1744372898156.812577,36204907
12,1744372898194.030412,43361080
13,1744372898238.964532,37217115
14,1744372898286.284190,44934147
15,1744372898325.072626,47319147
16,1744372898370.278670,38910813
17,1744372898405.394777,45131605
18,1744372898450.855119,35065920
19,1744372898488.274514,45463733
20,1744372898529.237199,37417609
21,1744372898577.298714,40956106
22,1744372898619.311226,48061760
23,1744372898666.673679,42012916
24,1744372898701.920683,47367458
25,1744372898745.340790,35263786
26,1744372898789.637826,43400578
27,1744372898826.797026,44299694
28,1744372898872.251052,37168071
29,1744372898911.664617,45444795
30,1744372898960.080070,39415769
31,1744372899006.932848,48491538
32,1744372899046.015386,47156560
33,1744372899091.100461,38702627
34,1744372899127.564003,45193822
35,1744372899170.290550,36354551
36,1744372899210.701990,42727582
37,1744372899257.717799,40411649
38,1744372899297.847119,47014551
39,1744372899337.876959,40128698
40,1744372899383.015523,40030729
41,1744372899421.926003,45139764
42,1744372899466.418368,38924111
43,1744372899504.064310,44479991
44,1744372899543.079137,37673565
45,1744372899590.693141,39104773
46,1744372899629.616386,47493156
47,1744372899670.825417,38924382
48,1744372899719.371439,41271871
49,1744372899759.084217,48477613
50,1744372899803.465026,39840712
51,1744372899844.002577,44267160
52,1744372899890.074163,40528373
53,1744372899937.299594,46101924
54,1744372899983.723177,47187774
55,1744372900023.846248,46430000
56,1744372900068.966977,40130480
57,1744372900117.534283,45115235
58,1744372900165.762390,48582347
59,1744372900213.879501,48211027
60,1744372900260.303452,48118200
61,1744372900307.670390,46422675
62,1744372900353.317879,47367898
63,1744372900401.256706,45642440
64,1744372900449.539066,47937969
65,1744372900496.934323,48286946
66,1744372900545.361497,47411285
67,1744372900594.134359,48647698
68,1744372900636.656586,48537146
69,1744372900675.411181,42523303
70,1744372900720.279599,38751955
71,1744372900758.484994,44870413
72,1744372900802.731781,38206752
73,1744372900840.063306,44246342
74,1744372900883.585750,37361715
75,1744372900931.900910,43490365
76,1744372900979.067706,48333693
77,1744372901018.599834,47271271
78,1744372901059.642372,39410947
79,1744372901099.335252,41041124
80,1744372901136.378594,39691338
81,1744372901180.755510,37045373
82,1744372901217.546097,44377272
83,1744372901262.600932,36790266
84,1744372901308.486648,45293520
85,1744372901345.639363,45647520
86,1744372901390.788586,37152027
87,1744372901427.601217,45149693
88,1744372901469.849239,36812085
89,1744372901516.537537,42328529
90,1744372901552.927537,46609164
91,1744372901600.754323,36755862
92,1744372901643.854403,47461476
93,1744372901691.343612,43098702
94,1744372901727.525381,47485551
95,1744372901766.348457,36185591
96,1744372901811.723186,38823787
97,1744372901847.529497,45373004
98,1744372901890.193883,35805169
99,1744372901936.303812,42666014
100,1744372901980.745386,46110186
101,1744372902025.394386,44443160
102,1744372902060.746910,44646351
103,1744372902105.303230,35353925
104,1744372902141.998177,44550262
105,1744372902184.239470,36700756
106,1744372902225.017492,42242133
107,1744372902263.559323,40777613
108,1744372902310.730190,38539222
109,1744372902348.919074,47174165
110,1744372902395.706497,38211329
111,1744372902435.300657,46764444
112,1744372902472.243603,39586791
113,1744372902519.436674,36948916
114,1744372902555.882701,47198084
115,1744372902596.269572,36441178
116,1744372902643.382226,40387422
117,1744372902682.148190,47110076
118,1744372902730.654683,38769129
119,1744372902768.284723,48794822
120,1744372902806.679603,37340004
121,1744372902852.712537,38396352
122,1744372902887.697670,46032546
123,1744372902926.178159,34984209
124,1744372902973.729341,38481187
125,1744372903014.324301,47841324
126,1744372903062.417910,40306049
127,1744372903101.637399,48094418
128,1744372903140.359879,39218027
129,1744372903185.070603,38722240
130,1744372903222.273323,44822915
131,1744372903260.605497,37091658
132,1744372903306.624230,38383582
133,1744372903343.910297,45966742
134,1744372903387.790594,37300823
135,1744372903435.903008,44103080
136,1744372903484.457394,47895142
137,1744372903532.721621,48539311
138,1744372903580.844874,48492547
139,1744372903629.359323,47890288
140,1744372903677.306363,48756512
141,1744372903725.320501,47697688
142,1744372903772.449514,48016285
143,1744372903820.246937,47143787
144,1744372903866.463763,47787942
145,1744372903911.904212,46224764
146,1744372903959.630643,45699351
147,1744372904007.062697,47457823
148,1744372904054.644399,47548182
149,1744372904096.912257,47466951
150,1744372904144.780199,42294840
151,1744372904192.859177,47841111
152,1744372904241.080786,48080782
153,1744372904288.750857,48337960
154,1744372904336.930483,47552556
155,1744372904382.786479,48192724
156,1744372904421.318310,45890334
157,1744372904466.247159,38477240
158,1744372904512.015777,44934560
159,1744372904560.059812,45775475
160,1744372904606.650217,48072440
161,1744372904651.650172,46555400
162,1744372904698.748106,44994018
163,1744372904744.212017,47103320
164,1744372904792.033052,45463240
165,1744372904839.416910,47830778
166,1744372904877.077586,47369617
167,1744372904921.281817,37820760
168,1744372904968.531452,44042094
169,1744372905015.999986,47257298
170,1744372905064.277492,47466933
171,1744372905112.827679,48331129
172,1744372905161.024292,48500071
173,1744372905205.682750,48204862
174,1744372905252.962870,44649760
175,1744372905298.671630,47278965
176,1744372905336.434137,45708866
177,1744372905377.579963,37771716
178,1744372905425.313763,41135191
179,1744372905473.495092,47731000
180,1744372905520.551963,48184027
181,1744372905567.975390,47059848
182,1744372905603.384857,47471734
183,1744372905644.448390,35358444
184,1744372905691.558812,41074187
