Sample,X(ms) [11.04.2025 11:50:10 496 UTC],"CycleTimeMeasurement.CycleTimeInfo"
4,1744372202914.410857,89343782
5,1744372203002.554292,88039769
6,1744372203090.517977,88142769
7,1744372203178.660288,87964711
8,1744372203268.698803,88140885
9,1744372203357.926572,90038204
10,1744372203447.754243,89267400
11,1744372203536.843946,89783725
12,1744372203627.815643,89096404
13,1744372203716.935812,91022213
14,1744372203808.020363,89085618
15,1744372203897.077528,91066427
16,1744372203986.165657,89178520
17,1744372204076.084235,88966053
18,1744372204164.531821,89953000
19,1744372204254.323137,89111916
20,1744372204343.521119,89091324
21,1744372204431.709266,89198351
22,1744372204520.615412,88798187
23,1744372204610.887052,88297489
24,1744372204699.846052,90272147
25,1744372204788.871306,88955120
26,1744372204880.932261,89029560
27,1744372204971.520479,92082982
28,1744372205062.329532,91142738
29,1744372205151.537017,90231808
30,1744372205240.690741,89206672
31,1744372205329.929946,89154586
32,1744372205419.968972,89257507
33,1744372205510.301408,90020227
34,1744372205599.421759,90332693
35,1744372205687.439559,89118467
36,1744372205775.399643,88027475
37,1744372205864.287599,87949173
38,1744372205952.454603,88891316
39,1744372206041.565706,88175489
40,1744372206129.753177,89102382
41,1744372206217.828386,88186898
42,1744372206305.629626,88075449
43,1744372206394.693399,87796711
44,1744372206483.833963,89067493
45,1744372206572.932906,89134987
46,1744372206663.250252,89127622
47,1744372206752.914319,90902667
48,1744372206843.432083,89079453
49,1744372206934.307003,91020271
50,1744372207022.488128,90350182
51,1744372207111.316310,88892387
52,1744372207199.323466,88125925
53,1744372207286.644795,87993920
54,1744372207375.623515,87326733
55,1744372207464.581075,88974933
56,1744372207552.736395,88960596
57,1744372207642.563061,88155178
58,1744372207731.873608,89826013
59,1744372207821.016692,89309422
60,1744372207911.007261,89146205
61,1744372208001.882550,89990360
62,1744372208090.708115,90870782
63,1744372208179.071439,88910684
64,1744372208269.037292,88404782
65,1744372208360.049879,89843076
66,1744372208447.400012,91046658
67,1744372208536.284021,87312764
68,1744372208623.360492,88887209
69,1744372208712.192061,87070680
70,1744372208801.485368,88843707
71,1744372208890.650897,89285764
72,1744372208980.716492,89166334
73,1744372209069.808763,90118720
74,1744372209157.737608,89037760
75,1744372209247.860199,87926755
76,1744372209338.088110,90124765
77,1744372209427.921008,90846675
78,1744372209516.993221,89232040
79,1744372209605.022972,89056978
80,1744372209693.973959,88028800
81,1744372209784.183466,88952675
82,1744372209873.391199,90204569
83,1744372209962.325235,89205143
84,1744372210051.439928,88939066
85,1744372210141.382515,89120200
86,1744372210230.364528,89932640
87,1744372210319.488861,88984827
88,1744372210408.462852,89122809
89,1744372210496.747048,88988058
90,1744372210586.698132,88272635
91,1744372210675.975412,89954560
92,1744372210764.882746,89274111
93,1744372210855.013035,88908351
94,1744372210944.171528,90131929
95,1744372211032.261328,89155556
96,1744372211122.181612,88099324
97,1744372211212.050252,89910734
98,1744372211301.582181,89906800
99,1744372211389.614452,90087853
100,1744372211479.799532,88040680
101,1744372211568.867741,90174800
102,1744372211657.789839,89175560
103,1744372211746.751239,88221653
104,1744372211836.790221,88964671
105,1744372211924.912639,90039956
106,1744372212014.032986,88143107
107,1744372212104.165079,89095720
108,1744372212194.040608,90133262
109,1744372212284.324599,89875071
110,1744372212374.223101,90294307
111,1744372212463.338839,89889537
112,1744372212550.525186,89114449
113,1744372212638.453435,87187889
