meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744372925277,1,1,0,0.10386466979980469
2,1744372925625,2,2,0,0.1068720817565918
3,1744372925874,3,3,0,0.1166374683380127
4,1744372926181,4,4,0,0.09354782104492188
5,1744372926416,5,5,0,0.09352660179138184
6,1744372926651,6,6,0,0.0905911922454834
7,1744372926880,7,7,0,0.05859255790710449
8,1744372927073,8,8,0,0.1051030158996582
9,1744372927367,9,9,0,0.04344010353088379
10,1744372927562,10,10,0,0.07093501091003418
11,1744372927808,11,11,0,0.09966588020324707
12,1744372928101,12,12,0,0.03998684883117676
13,1744372928284,13,13,0,0.0674581527709961
14,1744372928519,14,14,0,0.10364603996276855
15,1744372928771,15,15,0,0.05028033256530762
16,1744372928980,16,16,0,0.06462407112121582
17,1744372929226,17,17,0,0.06876277923583984
18,1744372929475,18,18,0,0.03881359100341797
19,1744372929711,19,19,0,0.06035113334655762
20,1744372929951,20,20,0,0.0822744369506836
21,1744372930204,21,21,0,0.05023789405822754
22,1744372930445,22,22,0,0.05326390266418457
23,1744372930673,23,23,0,0.07089042663574219
24,1744372930933,24,24,0,0.07499003410339355
25,1744372931189,25,25,0,0.058477163314819336
26,1744372931435,26,26,0,0.10409355163574219
27,1744372931689,27,27,0,0.08739352226257324
28,1744372931951,28,28,0,0.08293843269348145
29,1744372932181,29,29,0,0.04432845115661621
30,1744372932423,30,30,0,0.08999848365783691
31,1744372932667,31,31,0,0.09164857864379883
32,1744372932935,32,32,0,0.04946589469909668
33,1744372933160,33,33,0,0.06790423393249512
34,1744372933408,34,34,0,0.06907129287719727
35,1744372933653,35,35,0,0.09101414680480957
36,1744372933893,36,36,0,0.10802984237670898
37,1744372934145,37,37,0,0.07717156410217285
38,1744372934397,38,38,0,0.057990312576293945
39,1744372934649,39,39,0,0.10797476768493652
40,1744372934963,40,40,0,0.05479836463928223
41,1744372935155,41,41,0,0.09953618049621582
42,1744372935440,42,42,0,0.08407783508300781
43,1744372935657,43,43,0,0.07336258888244629
44,1744372935877,44,44,0,0.10755562782287598
45,1744372936133,45,45,0,0.05328536033630371
46,1744372936364,46,46,0,0.09841275215148926
47,1744372936655,47,47,0,0.11237883567810059
48,1744372936908,48,48,0,0.08214402198791504
49,1744372937137,49,49,0,0.10500478744506836
50,1744372937398,50,50,0,0.07678508758544922
51,1744372937620,51,51,0,0.09958338737487793
52,1744372937874,52,52,0,0.08445262908935547
53,1744372938101,53,53,0,0.08431267738342285
54,1744372938334,54,54,0,0.059206247329711914
55,1744372938542,55,55,0,0.07825875282287598
56,1744372938798,56,56,0,0.04634547233581543
57,1744372939019,57,57,0,0.08744478225708008
58,1744372939259,58,58,0,0.06787443161010742
59,1744372939519,59,59,0,0.052712202072143555
60,1744372939748,60,60,0,0.05338788032531738
61,1744372940003,61,61,0,0.061422109603881836
62,1744372940249,62,62,0,0.05615639686584473
63,1744372940481,63,63,0,0.05068492889404297
64,1744372940742,64,64,0,0.06357836723327637
65,1744372940983,65,65,0,0.0820765495300293
66,1744372941203,66,66,0,0.10065174102783203
67,1744372941457,67,67,0,0.08310294151306152
68,1744372941676,68,68,0,0.12650609016418457
69,1744372941941,69,69,0,0.04623532295227051
70,1744372942144,70,70,0,0.05147838592529297
71,1744372942387,71,71,0,0.05749392509460449
72,1744372942634,72,72,0,0.07183146476745605
73,1744372942855,73,73,0,0.1056513786315918
74,1744372943120,74,74,0,0.06418609619140625
75,1744372943354,75,75,0,0.052956581115722656
76,1744372943587,76,76,0,0.09683966636657715
77,1744372943866,77,77,0,0.04727959632873535
78,1744372944081,78,78,0,0.03729414939880371
79,1744372944309,79,79,0,0.09673237800598145
80,1744372944578,80,80,0,0.05132794380187988
81,1744372944807,81,81,0,0.049514055252075195
82,1744372945071,82,82,0,0.06268644332885742
83,1744372945322,83,83,0,0.04571866989135742
84,1744372945549,84,84,0,0.10394120216369629
85,1744372945799,85,85,0,0.08350801467895508
86,1744372946062,86,86,0,0.05291438102722168
87,1744372946283,87,87,0,0.08033871650695801
88,1744372946500,88,88,0,0.06534934043884277
89,1744372946723,89,89,0,0.08062911033630371
90,1744372946983,90,90,0,0.04329490661621094
91,1744372947204,91,91,0,0.06017184257507324
92,1744372947434,92,92,0,0.045363426208496094
93,1744372947665,93,93,0,0.04076743125915527
94,1744372947897,94,94,0,0.11425161361694336
95,1744372948171,95,95,0,0.047295570373535156
96,1744372948398,96,96,0,0.0752561092376709
97,1744372948648,97,97,0,0.09529876708984375
98,1744372948886,98,98,0,0.10921812057495117
99,1744372949134,99,99,0,0.10087442398071289
100,1744372949371,100,100,0,0.06138181686401367
101,1744372949585,101,101,0,0.044402122497558594
102,1744372949804,102,102,0,0.10806918144226074
103,1744372950125,103,103,0,0.09963750839233398
104,1744372950388,104,104,0,0.03615856170654297
105,1744372950598,105,105,0,0.0952765941619873
