meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744372645817,1,1,0,0.2433476448059082
2,1744372646460,2,2,0,0.22142744064331055
3,1744372647001,3,3,0,0.26302599906921387
4,1744372647589,4,4,0,0.23022174835205078
5,1744372648127,5,5,0,0.25366854667663574
6,1744372648686,6,6,0,0.23091530799865723
7,1744372649226,7,7,0,0.24242663383483887
8,1744372649798,8,8,0,0.22790122032165527
9,1744372650337,9,9,0,0.24023199081420898
10,1744372650927,10,10,0,0.2687489986419678
11,1744372651507,11,11,0,0.24014019966125488
12,1744372652060,12,12,0,0.280322790145874
13,1744372652643,13,13,0,0.23499107360839844
14,1744372653224,14,14,0,0.24824190139770508
15,1744372653834,15,15,0,0.24097299575805664
16,1744372654413,16,16,0,0.2333214282989502
17,1744372654978,17,17,0,0.25032663345336914
18,1744372655560,18,18,0,0.25060081481933594
19,1744372656120,19,19,0,0.2372727394104004
20,1744372656682,20,20,0,0.22162795066833496
21,1744372657241,21,21,0,0.2546529769897461
22,1744372657829,22,22,0,0.2224571704864502
23,1744372658376,23,23,0,0.22921347618103027
24,1744372658948,24,24,0,0.21341371536254883
25,1744372659457,25,25,0,0.21349835395812988
26,1744372660018,26,26,0,0.23822426795959473
27,1744372660557,27,27,0,0.25116872787475586
28,1744372661105,28,28,0,0.26514267921447754
29,1744372661667,29,29,0,0.23761701583862305
30,1744372662220,30,30,0,0.26291561126708984
31,1744372662809,31,31,0,0.22485661506652832
32,1744372663382,32,32,0,0.2090930938720703
33,1744372663911,33,33,0,0.22403573989868164
34,1744372664486,34,34,0,0.24038481712341309
35,1744372665055,35,35,0,0.2481677532196045
36,1744372665619,36,36,0,0.2564833164215088
37,1744372666179,37,37,0,0.25481724739074707
38,1744372666745,38,38,0,0.2227647304534912
39,1744372667295,39,39,0,0.2567284107208252
40,1744372667903,40,40,0,0.2485029697418213
41,1744372668492,41,41,0,0.24008488655090332
42,1744372669106,42,42,0,0.25351548194885254
43,1744372669675,43,43,0,0.24954771995544434
44,1744372670245,44,44,0,0.2723824977874756
45,1744372670850,45,45,0,0.25174570083618164
46,1744372671439,46,46,0,0.23113727569580078
47,1744372671998,47,47,0,0.2289750576019287
48,1744372672562,48,48,0,0.2412858009338379
49,1744372673147,49,49,0,0.25164103507995605
50,1744372673737,50,50,0,0.25762224197387695
51,1744372674305,51,51,0,0.25565552711486816
52,1744372674882,52,52,0,0.2238326072692871
53,1744372675425,53,53,0,0.2381455898284912
54,1744372676003,54,54,0,0.21230721473693848
55,1744372676565,55,55,0,0.19153404235839844
56,1744372677106,56,56,0,0.21033549308776855
57,1744372677642,57,57,0,0.22558236122131348
58,1744372678183,58,58,0,0.26780176162719727
59,1744372678771,59,59,0,0.24719691276550293
60,1744372679333,60,60,0,0.23717117309570312
61,1744372679890,61,61,0,0.25977373123168945
62,1744372680466,62,62,0,0.2332139015197754
63,1744372681031,63,63,0,0.22391819953918457
64,1744372681587,64,64,0,0.23317599296569824
65,1744372682147,65,65,0,0.21556544303894043
66,1744372682682,66,66,0,0.23094987869262695
67,1744372683254,67,67,0,0.19714665412902832
68,1744372683781,68,68,0,0.22471046447753906
69,1744372684335,69,69,0,0.25278449058532715
70,1744372684906,70,70,0,0.2462785243988037
71,1744372685459,71,71,0,0.2680377960205078
72,1744372685992,72,72,0,0.23909854888916016
73,1744372686548,73,73,0,0.21708989143371582
74,1744372687108,74,74,0,0.21952462196350098
75,1744372687659,75,75,0,0.20837736129760742
76,1744372688204,76,76,0,0.22281575202941895
77,1744372688770,77,77,0,0.23219728469848633
78,1744372689304,78,78,0,0.242401123046875
79,1744372689841,79,79,0,0.27368760108947754
80,1744372690403,80,80,0,0.23209524154663086
81,1744372690940,81,81,0,0.24740362167358398
82,1744372691520,82,82,0,0.22500824928283691
83,1744372692091,83,83,0,0.21954059600830078
84,1744372692619,84,84,0,0.20833587646484375
85,1744372693148,85,85,0,0.23303914070129395
86,1744372693699,86,86,0,0.24106645584106445
87,1744372694266,87,87,0,0.24753427505493164
88,1744372694809,88,88,0,0.24013042449951172
89,1744372695371,89,89,0,0.22916388511657715
90,1744372695931,90,90,0,0.22173810005187988
91,1744372696470,91,91,0,0.2373204231262207
92,1744372697025,92,92,0,0.2568662166595459
93,1744372697591,93,93,0,0.2420516014099121
94,1744372698134,94,94,0,0.24236202239990234
95,1744372698704,95,95,0,0.23308944702148438
96,1744372699271,96,96,0,0.21547412872314453
97,1744372699818,97,97,0,0.2186291217803955
98,1744372700381,98,98,0,0.20612430572509766
99,1744372700894,99,99,0,0.23383212089538574
100,1744372701466,100,100,0,0.24770784378051758
101,1744372702022,101,101,0,0.25763630867004395
102,1744372702558,102,102,0,0.24533772468566895
103,1744372703102,103,103,0,0.22483158111572266
104,1744372703615,104,104,0,0.251112699508667
105,1744372704195,105,105,0,0.22284722328186035
106,1744372704765,106,106,0,0.21469402313232422
107,1744372705297,107,107,0,0.21669554710388184
108,1744372705872,108,108,0,0.21638751029968262
109,1744372706401,109,109,0,0.22985363006591797
110,1744372706929,110,110,0,0.2596914768218994
111,1744372707477,111,111,0,0.25240135192871094
112,1744372708029,112,112,0,0.23322033882141113
113,1744372708563,113,113,0,0.24753546714782715
114,1744372709131,114,114,0,0.2176806926727295
115,1744372709681,115,115,0,0.23502516746520996
116,1744372710219,116,116,0,0.2135334014892578
117,1744372710741,117,117,0,0.21744823455810547
118,1744372711296,118,118,0,0.23287272453308105
119,1744372711850,119,119,0,0.24022769927978516
120,1744372712414,120,120,0,0.2474381923675537
121,1744372712941,121,121,0,0.24236750602722168
122,1744372713494,122,122,0,0.22382712364196777
123,1744372714047,123,123,0,0.23244810104370117
124,1744372714620,124,124,0,0.2373201847076416
125,1744372715173,125,125,0,0.2341456413269043
126,1744372715731,126,126,0,0.2608377933502197
127,1744372716287,127,127,0,0.21718215942382812
128,1744372716819,128,128,0,0.2305455207824707
129,1744372717379,129,129,0,0.2133159637451172
130,1744372717927,130,130,0,0.2288661003112793
131,1744372718498,131,131,0,0.2074570655822754
132,1744372719005,132,132,0,0.21351957321166992
