Sample,X(ms) [07.06.2012 20:53:07 090 UTC],"CycleTimeMeasurement.CycleTimeInfo"
8,1339102377149.803984,12445000
9,1339102377165.314672,13229000
10,1339102377178.296032,12845000
11,1339102377191.043216,12437000
12,1339102377204.034176,12310000
13,1339102377216.848048,12440000
14,1339102377232.025408,12391000
15,1339102377244.866728,12693000
16,1339102377257.681448,12378000
17,1339102377270.498344,12354000
18,1339102377283.298544,12339000
19,1339102377296.193304,12354000
20,1339102377308.992952,12378000
21,1339102377321.792024,12379000
22,1339102377334.626664,12327000
23,1339102377347.303328,12348000
24,1339102377360.135200,12239000
25,1339102377372.913456,12298000
26,1339102377385.665544,12341000
27,1339102377398.551968,12327000
28,1339102377411.216888,12368000
29,1339102377424.177440,12252000
30,1339102377436.959480,12412000
31,1339102377449.743712,12357000
32,1339102377464.617808,12317000
33,1339102377478.601640,12575000
34,1339102377493.275072,12762000
35,1339102377506.360424,12759000
36,1339102377519.657016,12542000
37,1339102377534.457184,12416000
38,1339102377547.298704,12927000
39,1339102377560.199288,12410000
40,1339102377573.014896,12382000
41,1339102377585.729744,12365000
42,1339102377599.991744,12281000
43,1339102377613.818768,12540000
44,1339102377626.752856,12716000
45,1339102377639.654936,12387000
46,1339102377652.572552,12442000
47,1339102377667.352976,12413000
48,1339102377680.305584,12562000
49,1339102377693.090320,12400000
50,1339102377706.002280,12322000
51,1339102377718.799864,12374000
52,1339102377733.794272,12349000
53,1339102377746.687456,12738000
54,1339102377759.494912,12395000
55,1339102377772.394680,12347000
56,1339102377785.119816,12389000
57,1339102377798.528688,12303000
58,1339102377814.691232,12406000
59,1339102377827.656224,13085000
60,1339102377840.535752,12471000
61,1339102377853.232760,12401000
62,1339102377868.232696,12250000
63,1339102377881.185784,12746000
64,1339102377894.099360,12470000
65,1339102377906.897960,12409000
66,1339102377919.694800,12358000
67,1339102377934.790880,12282000
68,1339102377947.695720,12832000
69,1339102377960.625328,12424000
70,1339102377973.408904,12419000
71,1339102377987.304056,12323000
72,1339102378001.545648,12534000
73,1339102378014.449216,12778000
74,1339102378027.235256,12422000
75,1339102378040.066888,12291000
76,1339102378055.065016,12354000
77,1339102378068.016056,12714000
78,1339102378080.770584,12428000
79,1339102378093.495632,12301000
80,1339102378106.353448,12303000
81,1339102378121.344816,12337000
82,1339102378135.944656,12667000
83,1339102378148.818984,12555000
84,1339102378161.607072,12442000
85,1339102378176.297128,12331000
86,1339102378189.282024,12563000
87,1339102378202.287448,12392000
88,1339102378215.107144,12435000
89,1339102378228.096200,12399000
90,1339102378242.999384,12447000
91,1339102378256.001464,12644000
92,1339102378268.791152,12461000
93,1339102378281.571280,12353000
94,1339102378295.123008,12328000
95,1339102378309.682752,12414000
96,1339102378322.759144,12939000
97,1339102378335.568864,12540000
98,1339102378348.343240,12384000
99,1339102378363.208288,12296000
100,1339102378377.105800,12622000
101,1339102378390.056872,12699000
102,1339102378402.883056,12455000
103,1339102378415.617016,12352000
104,1339102378428.417472,12306000
105,1339102378444.841808,12276000
106,1339102378457.744136,12818000
107,1339102378470.531336,12426000
108,1339102378483.298136,12282000
109,1339102378496.209544,12301000
110,1339102378509.689704,12386000
111,1339102378524.359464,12437000
112,1339102378537.202800,12841000
113,1339102378550.016016,12402000
114,1339102378562.774864,12335000
115,1339102378575.543976,12300000
116,1339102378589.674536,12304000
117,1339102378603.683272,12553000
118,1339102378616.659160,12783000
119,1339102378629.505072,12489000
120,1339102378642.336856,12358000
121,1339102378655.142792,12329000
122,1339102378670.051256,12338000
123,1339102378682.991256,12641000
124,1339102378695.783808,12458000
125,1339102378708.561408,12292000
126,1339102378721.442152,12288000
127,1339102378736.440872,12385000
128,1339102378749.250624,12700000
129,1339102378763.910856,12379000
130,1339102378776.817280,12633000
131,1339102378791.592472,12451000
132,1339102378804.593904,12587000
133,1339102378817.346328,12434000
134,1339102378830.304872,12307000
135,1339102378843.024464,12415000
136,1339102378855.827088,12290000
137,1339102378870.791464,12357000
138,1339102378883.751520,12696000
139,1339102378896.669976,12484000
140,1339102378909.431464,12407000
141,1339102378922.338040,12336000
142,1339102378937.442360,12310000
143,1339102378950.433976,12855000
144,1339102378963.230608,12458000
145,1339102378976.120632,12332000
146,1339102378990.954872,12371000
147,1339102379004.217600,12759000
148,1339102379017.014928,12572000
149,1339102379029.840832,12362000
150,1339102379042.656560,12354000
151,1339102379057.736792,12331000
152,1339102379072.498752,12819000
153,1339102379085.327032,12726000
154,1339102379098.205424,12395000
155,1339102379112.006864,12345000
156,1339102379126.360872,12442000
157,1339102379139.447552,12840000
158,1339102379155.954672,12410000
159,1339102379168.822808,13149000
160,1339102379183.784648,12426000
161,1339102379196.883008,12695000
162,1339102379209.699344,12511000
163,1339102379222.622192,12383000
164,1339102379236.753304,12390000
165,1339102379250.627160,12507000
166,1339102379264.135728,12720000
167,1339102379281.370560,12527000
168,1339102379299.432032,13041000
169,1339102379317.177832,13446000
170,1339102379333.721800,13155000
171,1339102379346.679040,13208000
172,1339102379359.456936,12463000
173,1339102379372.775232,12322000
174,1339102379389.094840,12397000
175,1339102379402.145928,13078000
176,1339102379414.881032,12524000
177,1339102379427.712200,12290000
178,1339102379440.561720,12348000
179,1339102379454.968984,12373000
180,1339102379468.600328,12552000
181,1339102379481.607696,12647000
182,1339102379494.496136,12511000
183,1339102379507.282136,12367000
184,1339102379520.151832,12364000
185,1339102379535.095776,12360000
186,1339102379548.064136,12753000
187,1339102379560.849352,12469000
188,1339102379573.665040,12334000
189,1339102379586.441440,12359000
190,1339102379601.431208,12296000
191,1339102379614.369224,12766000
192,1339102379627.235176,12451000
193,1339102379640.176376,12375000
194,1339102379653.801008,12420000
