Sample,X(ms) [11.04.2025 12:57:37 761 UTC],"CycleTimeMeasurement.CycleTimeInfo"
8,1744376253457.821096,12736000
9,1744376253474.836376,13135000
10,1744376253487.883736,13435000
11,1744376253500.988328,12598000
12,1744376253514.006064,12580000
13,1744376253527.045992,12573000
14,1744376253542.011056,12524000
15,1744376253555.238008,12710000
16,1744376253568.226992,12694000
17,1744376253581.261528,12502000
18,1744376253594.702168,12518000
19,1744376253609.703152,12604000
20,1744376253622.883080,12905000
21,1744376253635.866608,12648000
22,1744376253648.999136,12519000
23,1744376253664.074728,12603000
24,1744376253677.292440,12855000
25,1744376253690.290800,12658000
26,1744376253703.412992,12561000
27,1744376253716.306400,12603000
28,1744376253731.515816,12458000
29,1744376253744.535024,12897000
30,1744376253757.637264,12583000
31,1744376253770.602960,12602000
32,1744376253785.211928,12500000
33,1744376253800.654216,12639000
34,1744376253813.974096,13122000
35,1744376253827.084120,12663000
36,1744376253840.003488,12579000
37,1744376253855.267264,12496000
38,1744376253868.371504,13005000
39,1744376253881.451696,12636000
40,1744376253894.373984,12572000
41,1744376253908.588088,12483000
42,1744376253923.069384,12798000
43,1744376253936.117200,12964000
44,1744376253949.189896,12603000
45,1744376253962.107056,12567000
46,1744376253977.223168,12477000
47,1744376253990.337784,12749000
48,1744376254003.458872,12651000
49,1744376254016.389024,12569000
50,1744376254029.726848,12499000
51,1744376254044.886720,12605000
52,1744376254057.955240,12994000
53,1744376254071.035328,12608000
54,1744376254083.974688,12568000
55,1744376254099.063008,12489000
56,1744376254112.182392,12749000
57,1744376254125.220544,12642000
58,1744376254138.186944,12504000
59,1744376254151.300640,12530000
60,1744376254167.963184,12576000
61,1744376254181.141552,13087000
62,1744376254194.165160,12642000
63,1744376254207.286744,12590000
64,1744376254221.478176,12599000
65,1744376254235.884096,12702000
66,1744376254249.036712,12958000
67,1744376254262.919064,12630000
68,1744376254276.020848,12687000
69,1744376254291.323064,12614000
70,1744376254304.437632,13046000
71,1744376254317.441864,12615000
72,1744376254330.395424,12478000
73,1744376254344.459520,12518000
74,1744376254358.950880,12675000
75,1744376254372.006104,13018000
76,1744376254385.060512,12577000
77,1744376254398.198472,12548000
78,1744376254413.522024,12628000
79,1744376254426.605080,13006000
80,1744376254439.676720,12576000
81,1744376254452.667992,12599000
82,1744376254465.686200,12523000
83,1744376254481.062552,12501000
84,1744376254495.963216,12996000
85,1744376254509.174672,12934000
86,1744376254522.214208,12681000
87,1744376254537.355848,12574000
88,1744376254550.451408,12854000
89,1744376254563.451160,12605000
90,1744376254576.422352,12490000
91,1744376254589.429936,12452000
92,1744376254604.855168,12533000
93,1744376254617.986576,12940000
94,1744376254631.115968,12657000
95,1744376254644.026696,12611000
96,1744376254658.653264,12485000
97,1744376254672.443008,12762000
98,1744376254685.573216,12744000
99,1744376254698.597832,12621000
100,1744376254711.635848,12552000
101,1744376254727.014904,12553000
102,1744376254740.102320,13040000
103,1744376254753.173248,12647000
104,1744376254766.123648,12566000
105,1744376254779.684704,12480000
106,1744376254794.502336,12613000
107,1744376254807.780240,12920000
108,1744376254820.836448,12734000
109,1744376254833.723520,12530000
110,1744376254849.884472,12460000
111,1744376254863.942616,13105000
112,1744376254877.219432,12978000
113,1744376254890.203472,12745000
114,1744376254903.333680,12545000
115,1744376254918.860768,12546000
116,1744376254931.876784,13153000
117,1744376254944.885696,12582000
118,1744376254957.819848,12530000
119,1744376254973.110040,12476000
120,1744376254986.301176,12985000
121,1744376254999.430464,12680000
122,1744376255012.458792,12603000
123,1744376255025.492168,12532000
124,1744376255040.541208,12521000
125,1744376255053.715608,12777000
126,1744376255066.813032,12659000
127,1744376255079.787920,12572000
128,1744376255093.540736,12524000
129,1744376255108.125856,12630000
130,1744376255121.302528,12860000
131,1744376255134.291048,12630000
132,1744376255147.419176,12543000
133,1744376255162.831680,12603000
134,1744376255178.428416,12838000
135,1744376255191.516272,13287000
136,1744376255204.572632,12593000
137,1744376255217.686544,12592000
138,1744376255230.732824,12535000
139,1744376255246.103000,12580000
140,1744376255259.286896,13082000
141,1744376255272.213688,12666000
142,1744376255285.264456,12459000
143,1744376255299.820072,12539000
144,1744376255313.835704,12753000
145,1744376255326.962688,13007000
146,1744376255339.884080,12612000
147,1744376255352.966808,12493000
148,1744376255368.188208,12560000
149,1744376255381.445512,12928000
150,1744376255394.466888,12704000
151,1744376255407.733696,12583000
