Sample,X(ms) [11.04.2025 12:15:23 405 UTC],"CycleTimeMeasurement.CycleTimeInfo"
4,1744373718619.846736,14222000
5,1744373718650.396368,14569000
6,1744373718683.221088,14470000
7,1744373718716.006928,14322000
8,1744373718749.574920,14413000
9,1744373718782.348872,14544000
10,1744373718815.876280,14486000
11,1744373718848.622160,14438000
12,1744373718881.486896,14402000
13,1744373718911.195312,14428000
14,1744373718944.013776,14149000
15,1744373718973.787496,14325000
16,1744373719007.301632,14035000
17,1744373719035.685488,14452000
18,1744373719069.675944,14076000
19,1744373719102.621384,14468000
20,1744373719134.070312,14595000
21,1744373719165.066888,14129000
22,1744373719187.338800,14312000
23,1744373719220.674976,13407000
24,1744373719253.790056,14430000
25,1744373719286.668232,14496000
26,1744373719320.013368,14547000
27,1744373719352.886552,14345000
28,1744373719385.803392,14426000
29,1744373719418.490952,14436000
30,1744373719451.266752,14445000
31,1744373719484.123736,14319000
32,1744373719516.699312,14419000
33,1744373719550.427472,14141000
34,1744373719583.322800,14655000
35,1744373719616.141712,14371000
36,1744373719648.848880,14400000
37,1744373719682.222312,14223000
38,1744373719711.901000,14513000
39,1744373719744.886624,14266000
40,1744373719777.478040,14447000
41,1744373719810.365320,14291000
42,1744373719842.966568,14497000
43,1744373719875.894424,14176000
44,1744373719909.405496,14501000
45,1744373719942.429488,14499000
46,1744373719975.035176,14640000
47,1744373720002.614904,14204000
48,1744373720036.261224,13824000
49,1744373720068.316872,14599000
50,1744373720101.884040,14209000
51,1744373720134.621400,14502000
52,1744373720168.205104,14299000
53,1744373720190.086840,14596000
54,1744373720219.509248,13524000
55,1744373720252.206480,13945000
56,1744373720284.651456,14397000
57,1744373720314.475176,14290000
58,1744373720347.238648,14178000
59,1744373720380.158696,14436000
60,1744373720413.580272,14521000
61,1744373720446.252424,14407000
62,1744373720479.190368,14425000
63,1744373720511.884296,14443000
64,1744373720545.501352,14336000
65,1744373720578.315704,14431000
66,1744373720611.196632,14511000
67,1744373720644.955720,14369000
68,1744373720672.316760,14601000
69,1744373720698.950800,14211000
70,1744373720731.709496,13734000
71,1744373720764.653416,14449000
72,1744373720797.510104,14521000
73,1744373720831.157088,14377000
74,1744373720864.637496,14419000
75,1744373720898.493192,14393000
76,1744373720932.347192,14660000
77,1744373720964.997064,14743000
78,1744373720998.639400,14252000
79,1744373721027.622576,14667000
80,1744373721060.349152,14154000
81,1744373721093.051480,14225000
82,1744373721126.442872,14205000
83,1744373721159.387576,14425000
84,1744373721192.155568,14464000
85,1744373721225.598928,14375000
86,1744373721258.298728,14330000
87,1744373721291.227264,14280000
88,1744373721324.029712,14457000
89,1744373721357.727472,14376000
90,1744373721390.606224,14642000
91,1744373721423.461008,14459000
92,1744373721456.075064,14431000
93,1744373721488.997872,14333000
94,1744373721518.349392,14451000
95,1744373721551.265560,14128000
96,1744373721583.035552,14388000
97,1744373721616.415744,14396000
98,1744373721649.339976,14435000
99,1744373721682.206352,14459000
100,1744373721715.901504,14414000
101,1744373721749.589976,14596000
102,1744373721781.436960,14500000
103,1744373721814.108384,14394000
104,1744373721846.987808,14250000
105,1744373721879.749544,14418000
106,1744373721912.492520,14334000
107,1744373721945.078664,14411000
108,1744373721977.868992,14121000
109,1744373722010.588264,14362000
110,1744373722043.338528,14427000
111,1744373722077.062648,14369000
112,1744373722094.620888,14612000
113,1744373722128.885040,13355000
114,1744373722154.493216,14529000
115,1744373722188.038104,14024000
116,1744373722220.109936,14581000
117,1744373722252.720848,14613000
118,1744373722286.349456,14267000
119,1744373722319.148248,14558000
120,1744373722351.964168,14374000
121,1744373722381.556328,14479000
122,1744373722409.926152,14169000
123,1744373722444.172344,14241000
124,1744373722468.453344,14770000
125,1744373722499.179304,13775000
126,1744373722529.820576,13965000
127,1744373722560.188752,14270000
128,1744373722592.219128,14179000
129,1744373722625.062016,14236000
130,1744373722657.653776,14417000
131,1744373722691.308272,14267000
132,1744373722717.667680,14585000
133,1744373722746.526000,13848000
134,1744373722779.398296,14192000
135,1744373722806.591032,14474000
136,1744373722831.358856,13781000
137,1744373722853.099480,13959000
138,1744373722872.835392,13342000
139,1744373722898.604952,13468000
140,1744373722930.107592,13690000
141,1744373722962.892456,14270000
142,1744373722996.397864,14339000
143,1744373723027.251920,14542000
144,1744373723049.845312,14261000
145,1744373723083.462592,13362000
146,1744373723112.093688,14574000
147,1744373723144.934464,14178000
148,1744373723175.302064,14327000
149,1744373723208.107432,14128000
150,1744373723241.601800,14413000
151,1744373723272.539160,14480000
152,1744373723306.139976,14309000
153,1744373723338.893384,14550000
154,1744373723371.660616,14341000
155,1744373723405.584496,14388000
156,1744373723438.319056,14807000
157,1744373723469.776000,14444000
158,1744373723502.380600,14247000
159,1744373723533.214512,14256000
160,1744373723565.086808,14320000
161,1744373723595.743848,14197000
162,1744373723629.326496,14211000
163,1744373723659.327776,14470000
164,1744373723680.384120,13989000
165,1744373723705.921704,13218000
166,1744373723738.657360,13824000
167,1744373723772.467024,14381000
168,1744373723794.880072,14726000
169,1744373723827.021200,13609000
170,1744373723840.176464,14349000
171,1744373723861.680152,12700000
172,1744373723883.616952,13200000
173,1744373723912.000400,13372000
174,1744373723944.926944,13923000
175,1744373723968.047680,14381000
176,1744373723994.530544,13656000
177,1744373724025.470912,13660000
178,1744373724058.081072,14395000
179,1744373724090.974960,14333000
180,1744373724118.399856,14421000
181,1744373724146.159440,13986000
182,1744373724178.659696,13817000
183,1744373724203.072128,14098000
184,1744373724236.910672,13536000
185,1744373724265.373240,14812000
186,1744373724291.392592,14021000
187,1744373724324.691392,14066000
188,1744373724342.145992,14502000
189,1744373724375.599040,13189000
190,1744373724407.679128,14371000
191,1744373724441.085936,14335000
192,1744373724471.698088,14374000
193,1744373724504.563856,14239000
194,1744373724532.303440,14456000
195,1744373724552.879376,14160000
196,1744373724586.289976,13402000
197,1744373724619.197984,14617000
198,1744373724652.676384,14365000
199,1744373724685.696968,14491000
200,1744373724716.431480,14480000
201,1744373724746.675760,14377000
202,1744373724779.760432,14090000
203,1744373724808.401232,14468000
204,1744373724834.317896,14025000
205,1744373724868.350896,13829000
206,1744373724901.328672,14586000
207,1744373724934.032928,14451000
208,1744373724966.861936,14398000
209,1744373725000.270392,14333000
210,1744373725032.351448,14495000
211,1744373725065.922760,14278000
212,1744373725099.553568,14394000
213,1744373725132.672968,14552000
214,1744373725165.182056,14631000
215,1744373725186.642080,14135000
216,1744373725206.575808,13173000
217,1744373725240.657784,13394000
218,1744373725273.472224,14529000
219,1744373725307.072328,14355000
220,1744373725339.729720,14545000
221,1744373725372.561416,14288000
222,1744373725405.520680,14357000
223,1744373725438.066592,14524000
224,1744373725459.823648,14204000
225,1744373725490.993368,13758000
226,1744373725523.906752,14424000
227,1744373725556.496704,14380000
228,1744373725589.392456,14300000
229,1744373725622.175968,14439000
230,1744373725642.688352,14455000
231,1744373725675.988976,13505000
232,1744373725708.032704,14358000
233,1744373725741.503072,14212000
234,1744373725774.335968,14371000
235,1744373725807.344072,14525000
236,1744373725839.873120,14463000
237,1744373725872.575208,14212000
238,1744373725901.293440,14428000
239,1744373725934.049896,14123000
240,1744373725967.504600,14405000
241,1744373726000.321080,14343000
242,1744373726033.215296,14439000
243,1744373726065.936488,14434000
244,1744373726098.895760,14349000
245,1744373726131.677744,14382000
246,1744373726164.400824,14403000
247,1744373726193.743200,14292000
248,1744373726226.496640,14025000
249,1744373726259.472608,14450000
250,1744373726291.984480,14458000
251,1744373726325.744080,14158000
252,1744373726358.513048,14693000
253,1744373726392.080928,14454000
254,1744373726424.991232,14537000
255,1744373726457.937984,14407000
256,1744373726487.421872,14470000
257,1744373726520.208272,14037000
258,1744373726553.729592,14439000
259,1744373726585.777256,14481000
260,1744373726619.295704,14191000
261,1744373726651.985272,14607000
262,1744373726684.925712,14298000
263,1744373726717.729512,14390000
264,1744373726751.359616,14337000
265,1744373726784.224312,14642000
266,1744373726817.070992,14398000
267,1744373726849.727104,14440000
268,1744373726874.046128,14311000
269,1744373726906.578024,13772000
270,1744373726940.299616,14328000
271,1744373726972.482224,14574000
272,1744373727005.181768,14365000
273,1744373727037.905536,14193000
274,1744373727070.609968,14335000
275,1744373727104.160744,14393000
276,1744373727136.705144,14506000
277,1744373727164.972880,14208000
278,1744373727195.102384,14295000
279,1744373727226.910728,14013000
280,1744373727259.472928,14377000
281,1744373727292.320560,14239000
282,1744373727325.311072,14520000
283,1744373727358.002896,14514000
284,1744373727391.472312,14314000
285,1744373727424.321088,14381000
286,1744373727457.254712,14540000
287,1744373727489.808880,14411000
288,1744373727523.600088,14217000
289,1744373727556.402344,14647000
290,1744373727589.294112,14472000
291,1744373727621.987008,14339000
292,1744373727655.422392,14265000
293,1744373727687.425008,14320000
294,1744373727720.114040,14276000
295,1744373727753.647464,14331000
296,1744373727786.496016,14567000
297,1744373727819.441552,14438000
298,1744373727853.104408,14423000
299,1744373727885.826296,14595000
300,1744373727918.655816,14374000
301,1744373727951.407672,14465000
302,1744373727984.000584,14252000
303,1744373728013.326920,14257000
304,1744373728045.183760,14181000
305,1744373728072.001128,14178000
306,1744373728105.473248,13860000
307,1744373728138.210056,14457000
308,1744373728171.119504,14471000
309,1744373728200.591456,14402000
310,1744373728234.674336,14170000
311,1744373728267.439512,14806000
312,1744373728300.863448,14344000
313,1744373728333.647592,14358000
314,1744373728366.495832,14341000
315,1744373728399.341760,14400000
316,1744373728432.146208,14413000
317,1744373728465.566944,14392000
318,1744373728498.321768,14368000
319,1744373728531.294136,14436000
320,1744373728563.903312,14441000
321,1744373728597.437488,14213000
322,1744373728630.433976,14578000
323,1744373728663.135104,14557000
324,1744373728695.966808,14342000
325,1744373728728.910088,14476000
326,1744373728762.319616,14342000
327,1744373728794.386000,14522000
328,1744373728827.760032,14326000
329,1744373728860.592296,14304000
330,1744373728893.485416,14454000
331,1744373728922.860912,14429000
332,1744373728955.037784,14204000
333,1744373728988.578736,14353000
334,1744373729021.486160,14518000
335,1744373729054.918672,14416000
336,1744373729086.941384,14348000
337,1744373729110.574376,14236000
338,1744373729128.831576,13746000
339,1744373729148.659344,13088000
340,1744373729170.462560,13098000
341,1744373729184.959824,13501000
342,1744373729204.047816,12828000
343,1744373729227.005776,13023000
344,1744373729249.072800,13568000
345,1744373729274.843024,13617000
346,1744373729307.533584,13519000
347,1744373729337.857152,14364000
348,1744373729360.141560,14278000
349,1744373729382.911192,13263000
350,1744373729396.048760,13579000
351,1744373729409.120800,12683000
352,1744373729422.144160,12582000
353,1744373729435.294296,12570000
354,1744373729453.630896,12667000
355,1744373729471.087304,12961000
356,1744373729484.464840,13028000
357,1744373729497.549024,12818000
358,1744373729510.605360,12598000
359,1744373729523.789480,12597000
360,1744373729538.529720,12670000
361,1744373729561.774016,12715000
362,1744373729590.415600,13643000
363,1744373729610.320456,13996000
364,1744373729642.690856,13486000
365,1744373729664.828976,14668000
366,1744373729693.615304,13463000
367,1744373729727.201120,13803000
368,1744373729759.216976,14530000
369,1744373729791.953392,14194000
370,1744373729824.657616,14303000
371,1744373729856.322720,14306000
372,1744373729888.894464,14188000
373,1744373729921.649032,14172000
374,1744373729954.512264,14279000
375,1744373729987.344280,14480000
376,1744373730019.890608,14288000
377,1744373730052.725528,14214000
378,1744373730086.367864,14458000
379,1744373730119.102856,14567000
380,1744373730151.920976,14337000
381,1744373730184.466248,14391000
382,1744373730218.162936,14246000
383,1744373730250.049624,14619000
384,1744373730282.627832,14060000
385,1744373730315.695456,14259000
386,1744373730348.226608,14547000
387,1744373730381.200424,14287000
388,1744373730414.594904,14374000
389,1744373730447.613664,14453000
390,1744373730480.195008,14587000
391,1744373730513.824520,14272000
392,1744373730545.889736,14531000
393,1744373730579.566424,14236000
394,1744373730612.251832,14601000
395,1744373730645.054208,14369000
396,1744373730677.662936,14347000
397,1744373730711.505016,14195000
398,1744373730744.080264,14748000
399,1744373730777.676224,14269000
400,1744373730801.181960,14561000
401,1744373730829.053664,13756000
402,1744373730861.839016,13707000
403,1744373730895.325848,14409000
404,1744373730928.177792,14547000
405,1744373730960.912088,14418000
406,1744373730993.727584,14263000
407,1744373731026.384384,14391000
408,1744373731060.049712,14378000
409,1744373731093.025160,14537000
410,1744373731125.711032,14501000
411,1744373731159.259000,14281000
412,1744373731191.951704,14453000
413,1744373731225.664008,14281000
414,1744373731257.744392,14639000
415,1744373731290.478552,14261000
416,1744373731324.017976,14326000
417,1744373731357.007448,14484000
418,1744373731389.679864,14490000
419,1744373731422.464184,14319000
420,1744373731455.039080,14356000
421,1744373731488.624088,14169000
422,1744373731521.645312,14595000
423,1744373731554.352408,14499000
424,1744373731587.216928,14402000
425,1744373731619.808592,14456000
426,1744373731653.374952,14250000
427,1744373731685.312168,14490000
428,1744373731718.016064,14242000
429,1744373731749.436056,14448000
430,1744373731782.172688,14302000
431,1744373731814.370096,14363000
432,1744373731847.021408,14321000
433,1744373731880.480064,14276000
434,1744373731913.598320,14452000
435,1744373731946.208536,14701000
436,1744373731978.989768,14234000
437,1744373732011.791200,14268000
438,1744373732044.447544,14408000
439,1744373732073.917888,14397000
440,1744373732099.664616,13946000
441,1744373732128.174840,14017000
442,1744373732161.551944,13778000
443,1744373732194.303608,14217000
444,1744373732227.292872,14439000
445,1744373732260.082072,14509000
446,1744373732292.675096,14394000
447,1744373732326.627792,14218000
448,1744373732359.374544,14767000
449,1744373732392.912512,14314000
450,1744373732425.715952,14462000
451,1744373732458.659080,14408000
452,1744373732482.128656,14507000
453,1744373732510.513016,13601000
454,1744373732544.176880,13855000
455,1744373732577.006648,14537000
456,1744373732609.985936,14303000
457,1744373732643.518960,14509000
458,1744373732676.306560,14481000
459,1744373732708.226880,14477000
460,1744373732741.635088,14190000
461,1744373732774.625080,14366000
462,1744373732807.424856,14526000
463,1744373732840.081672,14348000
464,1744373732870.609776,14306000
465,1744373732903.583744,14159000
466,1744373732936.127096,14502000
467,1744373732969.088064,14237000
468,1744373733001.759008,14394000
469,1744373733034.559440,14332000
470,1744373733067.296456,14481000
471,1744373733099.903872,14335000
472,1744373733133.382776,14248000
473,1744373733165.485928,14408000
474,1744373733199.150248,14344000
475,1744373733231.986864,14585000
476,1744373733265.382720,14397000
477,1744373733297.152368,14370000
478,1744373733329.200600,14255000
479,1744373733361.870648,14206000
480,1744373733391.633144,14368000
481,1744373733425.229560,14160000
482,1744373733449.714552,14440000
483,1744373733483.296048,13689000
484,1744373733516.048744,14610000
485,1744373733548.691160,14422000
486,1744373733581.774536,14273000
487,1744373733615.199320,14479000
488,1744373733647.969880,14523000
489,1744373733680.866232,14395000
490,1744373733714.325240,14302000
491,1744373733745.375320,14466000
492,1744373733777.968680,14303000
493,1744373733805.758416,14260000
494,1744373733839.166576,14030000
