meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744277108736,1,1,0,0.013205528259277344
2,1744277108972,2,2,0,0.00943303108215332
3,1744277109192,3,3,0,0.009099721908569336
4,1744277109410,4,4,0,0.009001016616821289
5,1744277109629,5,5,0,0.009112358093261719
6,1744277109848,6,6,0,0.014005899429321289
7,1744277110072,7,7,0,0.01583409309387207
8,1744277110308,8,8,0,0.009290695190429688
9,1744277110527,9,9,0,0.009105443954467773
10,1744277110747,10,10,0,0.017141342163085938
11,1744277110974,11,11,0,0.008955717086791992
12,1744277111193,12,12,0,0.00909566879272461
13,1744277111411,13,13,0,0.015155792236328125
14,1744277111639,14,14,0,0.00920414924621582
15,1744277111858,15,15,0,0.009105920791625977
16,1744277112078,16,16,0,0.01507711410522461
17,1744277112303,17,17,0,0.00905299186706543
18,1744277112522,18,18,0,0.014151811599731445
19,1744277112746,19,19,0,0.011280536651611328
20,1744277112974,20,20,0,0.01820063591003418
21,1744277113203,21,21,0,0.009080171585083008
22,1744277113426,22,22,0,0.009045839309692383
23,1744277113645,23,23,0,0.018856287002563477
24,1744277113886,24,24,0,0.009946107864379883
25,1744277114106,25,25,0,0.009029150009155273
26,1744277114325,26,26,0,0.009172916412353516
27,1744277114557,27,27,0,0.01179957389831543
28,1744277114786,28,28,0,0.009206056594848633
29,1744277115006,29,29,0,0.0090789794921875
30,1744277115225,30,30,0,0.00881195068359375
31,1744277115461,31,31,0,0.009218931198120117
32,1744277115680,32,32,0,0.01799631118774414
33,1744277115908,33,33,0,0.009993314743041992
34,1744277116137,34,34,0,0.009105443954467773
35,1744277116359,35,35,0,0.008791208267211914
36,1744277116577,36,36,0,0.009215593338012695
37,1744277116797,37,37,0,0.008534908294677734
38,1744277117015,38,38,0,0.016103506088256836
39,1744277117241,39,39,0,0.008800506591796875
40,1744277117459,40,40,0,0.013859033584594727
41,1744277117682,41,41,0,0.009123563766479492
42,1744277117901,42,42,0,0.008191823959350586
43,1744277118121,43,43,0,0.009108543395996094
44,1744277118340,44,44,0,0.008928775787353516
45,1744277118558,45,45,0,0.009136676788330078
46,1744277118781,46,46,0,0.00926828384399414
47,1744277119000,47,47,0,0.00980234146118164
48,1744277119219,48,48,0,0.009975433349609375
49,1744277119439,49,49,0,0.009095430374145508
50,1744277119667,50,50,0,0.009405136108398438
51,1744277119887,51,51,0,0.009638309478759766
52,1744277120106,52,52,0,0.00917506217956543
53,1744277120324,53,53,0,0.009630680084228516
54,1744277120544,54,54,0,0.01823258399963379
55,1744277120772,55,55,0,0.009184598922729492
56,1744277120991,56,56,0,0.017035484313964844
57,1744277121218,57,57,0,0.00921630859375
58,1744277121444,58,58,0,0.00913691520690918
59,1744277121663,59,59,0,0.024658679962158203
60,1744277121905,60,60,0,0.009089231491088867
61,1744277122123,61,61,0,0.012180089950561523
62,1744277122345,62,62,0,0.01821422576904297
63,1744277122574,63,63,0,0.009157896041870117
64,1744277122793,64,64,0,0.01779007911682129
65,1744277123021,65,65,0,0.00917959213256836
66,1744277123239,66,66,0,0.009018421173095703
67,1744277123458,67,67,0,0.00910043716430664
68,1744277123677,68,68,0,0.016004562377929688
69,1744277123906,69,69,0,0.010201692581176758
70,1744277124126,70,70,0,0.011330366134643555
71,1744277124355,71,71,0,0.010121583938598633
72,1744277124579,72,72,0,0.00908660888671875
73,1744277124797,73,73,0,0.009101152420043945
74,1744277125016,74,74,0,0.008986473083496094
75,1744277125235,75,75,0,0.011992454528808594
76,1744277125456,76,76,0,0.015621662139892578
77,1744277125682,77,77,0,0.009145975112915039
78,1744277125900,78,78,0,0.011972665786743164
79,1744277126128,79,79,0,0.016783952713012695
80,1744277126359,80,80,0,0.010584592819213867
81,1744277126583,81,81,0,0.009465217590332031
82,1744277126802,82,82,0,0.009385824203491211
83,1744277127022,83,83,0,0.008822441101074219
84,1744277127242,84,84,0,0.00943136215209961
85,1744277127471,85,85,0,0.03185558319091797
86,1744277127721,86,86,0,0.014322757720947266
87,1744277127946,87,87,0,0.013293743133544922
88,1744277128178,88,88,0,0.00943613052368164
89,1744277128405,89,89,0,0.009458303451538086
90,1744277128624,90,90,0,0.01613640785217285
91,1744277128850,91,91,0,0.009238958358764648
92,1744277129068,92,92,0,0.012295246124267578
93,1744277129290,93,93,0,0.009110689163208008
94,1744277129512,94,94,0,0.009174823760986328
95,1744277129731,95,95,0,0.015110015869140625
96,1744277129963,96,96,0,0.01309657096862793
97,1744277130187,97,97,0,0.0315096378326416
98,1744277130429,98,98,0,0.009081363677978516
99,1744277130656,99,99,0,0.0275118350982666
100,1744277130912,100,100,0,0.01296687126159668
101,1744277131141,101,101,0,0.013710975646972656
102,1744277131365,102,102,0,0.009154796600341797
103,1744277131583,103,103,0,0.00912165641784668
104,1744277131802,104,104,0,0.009099721908569336
105,1744277132021,105,105,0,0.011540412902832031
106,1744277132249,106,106,0,0.009155035018920898
107,1744277132468,107,107,0,0.00929880142211914
108,1744277132688,108,108,0,0.013773441314697266
109,1744277132912,109,109,0,0.009087085723876953
110,1744277133132,110,110,0,0.009081602096557617
111,1744277133351,111,111,0,0.01011204719543457
112,1744277133570,112,112,0,0.009449958801269531
113,1744277133790,113,113,0,0.01714634895324707
114,1744277134019,114,114,0,0.00947427749633789
115,1744277134238,115,115,0,0.013216257095336914
116,1744277134461,116,116,0,0.009832143783569336
117,1744277134681,117,117,0,0.008246183395385742
