meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744280207217,1,1,0,0.014339208602905273
2,1744280207454,2,2,0,0.014503240585327148
3,1744280207681,3,3,0,0.012756824493408203
4,1744280207909,4,4,0,0.013429880142211914
5,1744280208140,5,5,0,0.013259410858154297
6,1744280208369,6,6,0,0.015147209167480469
7,1744280208603,7,7,0,0.013303041458129883
8,1744280208831,8,8,0,0.013927459716796875
9,1744280209058,9,9,0,0.013364791870117188
10,1744280209287,10,10,0,0.01344919204711914
11,1744280209506,11,11,0,0.01527547836303711
12,1744280209737,12,12,0,0.013730525970458984
13,1744280209965,13,13,0,0.015116453170776367
14,1744280210195,14,14,0,0.01337575912475586
15,1744280210424,15,15,0,0.01264810562133789
16,1744280210652,16,16,0,0.013156652450561523
17,1744280210879,17,17,0,0.013010978698730469
18,1744280211105,18,18,0,0.012144804000854492
19,1744280211331,19,19,0,0.013184070587158203
20,1744280211560,20,20,0,0.018568038940429688
21,1744280211798,21,21,0,0.013457298278808594
22,1744280212028,22,22,0,0.012830734252929688
23,1744280212250,23,23,0,0.009668827056884766
24,1744280212482,24,24,0,0.013548612594604492
25,1744280212725,25,25,0,0.017485618591308594
26,1744280212959,26,26,0,0.02257680892944336
27,1744280213205,27,27,0,0.014075756072998047
28,1744280213437,28,28,0,0.017581939697265625
29,1744280213671,29,29,0,0.012850522994995117
30,1744280213909,30,30,0,0.016278743743896484
31,1744280214141,31,31,0,0.01215505599975586
32,1744280214375,32,32,0,0.013142108917236328
33,1744280214602,33,33,0,0.01760721206665039
34,1744280214842,34,34,0,0.016039609909057617
35,1744280215072,35,35,0,0.014571189880371094
36,1744280215315,36,36,0,0.008855819702148438
37,1744280215543,37,37,0,0.014220237731933594
38,1744280215773,38,38,0,0.014503955841064453
39,1744280216003,39,39,0,0.016466379165649414
40,1744280216234,40,40,0,0.016644954681396484
41,1744280216468,41,41,0,0.01311349868774414
42,1744280216699,42,42,0,0.014298200607299805
43,1744280216930,43,43,0,0.018744945526123047
44,1744280217164,44,44,0,0.013175725936889648
45,1744280217389,45,45,0,0.006540775299072266
46,1744280217613,46,46,0,0.016777753829956055
47,1744280217843,47,47,0,0.017522573471069336
48,1744280218077,48,48,0,0.016399860382080078
49,1744280218310,49,49,0,0.014886140823364258
50,1744280218544,50,50,0,0.008608341217041016
51,1744280218767,51,51,0,0.016722440719604492
52,1744280219001,52,52,0,0.013617515563964844
53,1744280219231,53,53,0,0.017511367797851562
54,1744280219464,54,54,0,0.014035701751708984
55,1744280219690,55,55,0,0.014826297760009766
56,1744280219922,56,56,0,0.014893293380737305
57,1744280220174,57,57,0,0.013271808624267578
58,1744280220432,58,58,0,0.013361930847167969
59,1744280220671,59,59,0,0.013448476791381836
60,1744280220898,60,60,0,0.01631903648376465
61,1744280221135,61,61,0,0.013206720352172852
62,1744280221364,62,62,0,0.013226747512817383
63,1744280221591,63,63,0,0.013353824615478516
64,1744280221820,64,64,0,0.013254165649414062
65,1744280222051,65,65,0,0.013093709945678711
66,1744280222279,66,66,0,0.01800394058227539
67,1744280222511,67,67,0,0.01395273208618164
68,1744280222743,68,68,0,0.013115644454956055
69,1744280222971,69,69,0,0.01292109489440918
