Sample,X(ms) [11.04.2025 13:45:49 699 UTC],"CycleTimeMeasurement.CycleTimeInfo"
22,1744379129994.239592,4105000
23,1744379129999.688752,4040000
24,1744379130005.079000,4066000
25,1744379130009.249216,4104000
26,1744379130013.347264,3968000
27,1744379130017.459488,3902000
28,1744379130021.592144,3904000
29,1744379130025.665040,3899000
30,1744379130029.781984,3891000
31,1744379130033.847904,3899000
32,1744379130037.909472,3887000
33,1744379130041.968800,3885000
34,1744379130046.018328,3881000
35,1744379130050.059448,3870000
36,1744379130054.163616,3870000
37,1744379130058.226136,3890000
38,1744379130062.667168,3890000
39,1744379130066.759744,3965000
40,1744379130072.051400,3906000
41,1744379130077.029472,4008000
42,1744379130081.241792,4042000
43,1744379130085.332704,3978000
44,1744379130089.467432,3893000
45,1744379130093.544920,3900000
46,1744379130097.603424,3897000
47,1744379130101.650104,3880000
48,1744379130105.696072,3869000
49,1744379130109.750752,3868000
50,1744379130113.833984,3871000
51,1744379130117.906128,3879000
52,1744379130121.999472,3880000
53,1744379130126.042824,3886000
54,1744379130130.938040,3874000
55,1744379130136.242496,3975000
56,1744379130140.469728,4087000
57,1744379130144.626384,3984000
58,1744379130148.672248,3912000
59,1744379130152.759952,3867000
60,1744379130156.820112,3883000
61,1744379130160.930560,3879000
62,1744379130164.992856,3890000
63,1744379130169.049072,3882000
64,1744379130173.122856,3880000
65,1744379130177.173488,3888000
66,1744379130181.224768,3873000
67,1744379130185.288384,3877000
68,1744379130189.403296,3878000
69,1744379130193.479856,3886000
70,1744379130197.547256,3891000
71,1744379130201.603784,3889000
72,1744379130206.665648,3874000
73,1744379130211.767728,3954000
74,1744379130215.977600,4031000
75,1744379130220.105360,3963000
76,1744379130224.180328,3920000
77,1744379130228.319712,3893000
78,1744379130232.386504,3922000
79,1744379130236.495752,3883000
80,1744379130240.555184,3897000
81,1744379130244.659360,3878000
82,1744379130248.704296,3856000
83,1744379130252.799216,3870000
84,1744379130256.858568,3885000
