Sample,X(ms) [11.04.2025 14:26:22 918 UTC],"CycleTimeMeasurement.CycleTimeInfo"
53,1744381580426.889088,5638488
54,1744381580432.185288,5338880
55,1744381580437.776136,5295616
56,1744381580443.153488,5591720
57,1744381580448.538344,5377496
58,1744381580454.256344,5690856
59,1744381580459.722472,5425144
60,1744381580465.401624,5667640
61,1744381580471.131032,5464016
62,1744381580476.495096,5731904
63,1744381580481.921304,5365136
64,1744381580487.609880,5423760
65,1744381580492.991648,5689480
66,1744381580498.508560,5379672
67,1744381580503.874416,5600808
68,1744381580509.323392,5287368
69,1744381580514.893688,5659480
70,1744381580520.178752,5354096
71,1744381580525.779224,5290248
72,1744381580531.163400,5600440
73,1744381580536.510360,5377264
74,1744381580542.157752,5650520
75,1744381580547.633392,5348560
76,1744381580553.322968,5479152
77,1744381580558.730672,5685368
78,1744381580564.280952,5405440
79,1744381580569.711192,5554144
80,1744381580575.354568,5426808
81,1744381580580.715144,5643752
82,1744381580585.998360,5359720
83,1744381580591.592536,5284816
84,1744381580596.957768,5594600
85,1744381580602.300184,5363816
86,1744381580607.900024,5644928
87,1744381580613.277768,5297208
88,1744381580618.876280,5377920
89,1744381580624.183408,5598640
90,1744381580629.617528,5307960
91,1744381580635.240848,5652264
92,1744381580640.749184,5418552
93,1744381580646.321656,5714096
94,1744381580651.772872,5358768
95,1744381580657.417896,5446696
96,1744381580662.824784,5644616
97,1744381580668.386456,5404384
98,1744381580673.788344,5569040
99,1744381580679.405576,5395664
100,1744381580684.766312,5617032
101,1744381580690.081024,5359392
102,1744381580695.745480,5316712
103,1744381580701.114128,5664904
104,1744381580706.413720,5366560
105,1744381580712.060584,5591512
106,1744381580717.441136,5354944
107,1744381580723.079664,5382552
108,1744381580728.439712,5636880
109,1744381580734.126152,5364600
110,1744381580739.613232,5684680
111,1744381580745.275000,5484632
112,1744381580750.699176,5663264
113,1744381580756.337328,5422480
114,1744381580761.800976,5648152
115,1744381580767.402360,5453720
116,1744381580772.775824,5602704
117,1744381580778.073664,5372664
118,1744381580783.720312,5298504
119,1744381580789.129848,5645896
120,1744381580794.717104,5408352
121,1744381580800.015064,5586824
122,1744381580805.419016,5299960
123,1744381580811.016448,5404368
124,1744381580816.385032,5596488
125,1744381580822.044136,5375000
