meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744379149145,1,1,0,0.010020732879638672
2,1744379149286,2,2,0,0.016968250274658203
3,1744379149414,3,3,0,0.009080648422241211
4,1744379149533,4,4,0,0.009937524795532227
5,1744379149655,5,5,0,0.009956836700439453
6,1744379149780,6,6,0,0.01727747917175293
7,1744379149908,7,7,0,0.010222434997558594
8,1744379150029,8,8,0,0.011274337768554688
9,1744379150151,9,9,0,0.010938882827758789
10,1744379150278,10,10,0,0.010057210922241211
11,1744379150403,11,11,0,0.018032550811767578
12,1744379150549,12,12,0,0.012423515319824219
13,1744379150672,13,13,0,0.009182214736938477
14,1744379150791,14,14,0,0.018281221389770508
15,1744379150920,15,15,0,0.00993967056274414
16,1744379151042,16,16,0,0.009870767593383789
17,1744379151163,17,17,0,0.010097026824951172
18,1744379151284,18,18,0,0.010230302810668945
19,1744379151406,19,19,0,0.010050296783447266
20,1744379151589,20,20,0,0.009820938110351562
21,1744379151724,21,21,0,0.02016735076904297
22,1744379151855,22,22,0,0.01738739013671875
23,1744379151983,23,23,0,0.014664411544799805
24,1744379152108,24,24,0,0.0098876953125
25,1744379152229,25,25,0,0.009860754013061523
26,1744379152349,26,26,0,0.009854555130004883
27,1744379152470,27,27,0,0.010234355926513672
28,1744379152600,28,28,0,0.010064363479614258
29,1744379152721,29,29,0,0.009524822235107422
30,1744379152842,30,30,0,0.009763717651367188
31,1744379152963,31,31,0,0.0113677978515625
32,1744379153093,32,32,0,0.019051313400268555
33,1744379153223,33,33,0,0.01009988784790039
34,1744379153344,34,34,0,0.008512735366821289
35,1744379153464,35,35,0,0.00922846794128418
36,1744379153584,36,36,0,0.010027885437011719
37,1744379153705,37,37,0,0.010333061218261719
38,1744379153826,38,38,0,0.010105133056640625
39,1744379153947,39,39,0,0.012364387512207031
40,1744379154070,40,40,0,0.014987468719482422
41,1744379154200,41,41,0,0.009674787521362305
42,1744379154320,42,42,0,0.010276317596435547
43,1744379154442,43,43,0,0.009208917617797852
44,1744379154561,44,44,0,0.01008152961730957
45,1744379154683,45,45,0,0.010145902633666992
46,1744379154803,46,46,0,0.009902477264404297
47,1744379154933,47,47,0,0.021851062774658203
48,1744379155067,48,48,0,0.010226726531982422
49,1744379155188,49,49,0,0.010322332382202148
50,1744379155309,50,50,0,0.010193109512329102
51,1744379155430,51,51,0,0.010252952575683594
52,1744379155551,52,52,0,0.01017904281616211
53,1744379155670,53,53,0,0.011262893676757812
54,1744379155800,54,54,0,0.0181734561920166
55,1744379155929,55,55,0,0.010132312774658203
56,1744379156050,56,56,0,0.011066913604736328
57,1744379156183,57,57,0,0.012187480926513672
58,1744379156312,58,58,0,0.010233640670776367
59,1744379156433,59,59,0,0.01032257080078125
60,1744379156554,60,60,0,0.017368555068969727
61,1744379156685,61,61,0,0.015601873397827148
62,1744379156812,62,62,0,0.00928187370300293
63,1744379156933,63,63,0,0.010117769241333008
64,1744379157057,64,64,0,0.011597871780395508
65,1744379157180,65,65,0,0.009147882461547852
66,1744379157301,66,66,0,0.012706518173217773
67,1744379157428,67,67,0,0.010009527206420898
68,1744379157549,68,68,0,0.010035514831542969
69,1744379157678,69,69,0,0.01491546630859375
70,1744379157808,70,70,0,0.014363765716552734
71,1744379157932,71,71,0,0.010109901428222656
72,1744379158054,72,72,0,0.009356021881103516
