meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744381951954,1,1,0,0.0182037353515625
2,1744381952089,2,2,0,0.01621079444885254
3,1744381952219,3,3,0,0.014147281646728516
4,1744381952354,4,4,0,0.01613759994506836
5,1744381952484,5,5,0,0.014423847198486328
6,1744381952613,6,6,0,0.014200687408447266
7,1744381952743,7,7,0,0.014096498489379883
8,1744381952873,8,8,0,0.01418447494506836
9,1744381953006,9,9,0,0.017575740814208984
10,1744381953138,10,10,0,0.014371395111083984
11,1744381953268,11,11,0,0.017412662506103516
12,1744381953403,12,12,0,0.014064311981201172
13,1744381953532,13,13,0,0.018242835998535156
14,1744381953664,14,14,0,0.014237642288208008
15,1744381953793,15,15,0,0.01425027847290039
16,1744381953926,16,16,0,0.014036178588867188
17,1744381954055,17,17,0,0.014173746109008789
18,1744381954185,18,18,0,0.014267444610595703
19,1744381954316,19,19,0,0.01346135139465332
20,1744381954445,20,20,0,0.014096260070800781
21,1744381954574,21,21,0,0.014225959777832031
22,1744381954707,22,22,0,0.017131805419921875
23,1744381954839,23,23,0,0.013341665267944336
24,1744381954966,24,24,0,0.01340031623840332
25,1744381955098,25,25,0,0.013830900192260742
26,1744381955227,26,26,0,0.0143890380859375
27,1744381955363,27,27,0,0.017277956008911133
28,1744381955498,28,28,0,0.017084360122680664
29,1744381955631,29,29,0,0.019220590591430664
30,1744381955766,30,30,0,0.01617145538330078
31,1744381955897,31,31,0,0.014229774475097656
32,1744381956027,32,32,0,0.014350175857543945
33,1744381956156,33,33,0,0.015082120895385742
34,1744381956290,34,34,0,0.013952493667602539
35,1744381956422,35,35,0,0.01645350456237793
36,1744381956555,36,36,0,0.013766050338745117
37,1744381956683,37,37,0,0.014343500137329102
38,1744381956812,38,38,0,0.014123678207397461
39,1744381956941,39,39,0,0.014182567596435547
40,1744381957069,40,40,0,0.014032840728759766
41,1744381957200,41,41,0,0.015156745910644531
42,1744381957334,42,42,0,0.018151521682739258
43,1744381957467,43,43,0,0.01683974266052246
44,1744381957600,44,44,0,0.01352238655090332
45,1744381957729,45,45,0,0.014120817184448242
46,1744381957858,46,46,0,0.014233827590942383
47,1744381957987,47,47,0,0.018236160278320312
48,1744381958121,48,48,0,0.01781320571899414
49,1744381958254,49,49,0,0.014224529266357422
50,1744381958382,50,50,0,0.014222145080566406
51,1744381958511,51,51,0,0.014870405197143555
52,1744381958642,52,52,0,0.014732837677001953
53,1744381958777,53,53,0,0.017488956451416016
54,1744381958910,54,54,0,0.017179012298583984
55,1744381959042,55,55,0,0.013599872589111328
56,1744381959169,56,56,0,0.013473033905029297
57,1744381959302,57,57,0,0.014201641082763672
58,1744381959434,58,58,0,0.017248153686523438
59,1744381959570,59,59,0,0.015147924423217773
60,1744381959703,60,60,0,0.014063119888305664
61,1744381959833,61,61,0,0.014091968536376953
62,1744381959962,62,62,0,0.016141414642333984
63,1744381960092,63,63,0,0.01433563232421875
64,1744381960220,64,64,0,0.014119625091552734
65,1744381960349,65,65,0,0.013970136642456055
66,1744381960479,66,66,0,0.014402627944946289
67,1744381960608,67,67,0,0.01416015625
68,1744381960740,68,68,0,0.015699386596679688
69,1744381960874,69,69,0,0.015053749084472656
70,1744381961009,70,70,0,0.018107175827026367
71,1744381961142,71,71,0,0.017217159271240234
72,1744381961275,72,72,0,0.013454437255859375
73,1744381961403,73,73,0,0.013625383377075195
74,1744381961531,74,74,0,0.013509511947631836
75,1744381961660,75,75,0,0.013526201248168945
76,1744381961790,76,76,0,0.017493486404418945
77,1744381961925,77,77,0,0.01746368408203125
78,1744381962057,78,78,0,0.013952970504760742
79,1744381962186,79,79,0,0.014293432235717773
80,1744381962315,80,80,0,0.01428079605102539
81,1744381962449,81,81,0,0.01697397232055664
82,1744381962583,82,82,0,0.018992900848388672
83,1744381962717,83,83,0,0.014314889907836914
84,1744381962846,84,84,0,0.014226436614990234
85,1744381962977,85,85,0,0.014314889907836914
86,1744381963108,86,86,0,0.014364004135131836
87,1744381963241,87,87,0,0.01656818389892578
88,1744381963374,88,88,0,0.020373821258544922
89,1744381963510,89,89,0,0.01672053337097168
90,1744381963641,90,90,0,0.0133819580078125
91,1744381963769,91,91,0,0.01408529281616211
92,1744381963897,92,92,0,0.013875246047973633
93,1744381964026,93,93,0,0.013401031494140625
94,1744381964157,94,94,0,0.017074108123779297
95,1744381964290,95,95,0,0.013983011245727539
96,1744381964419,96,96,0,0.013485193252563477
97,1744381964547,97,97,0,0.013716936111450195
98,1744381964676,98,98,0,0.017351865768432617
99,1744381964812,99,99,0,0.015526056289672852
100,1744381964943,100,100,0,0.014115333557128906
101,1744381965072,101,101,0,0.014315128326416016
102,1744381965200,102,102,0,0.014145374298095703
103,1744381965331,103,103,0,0.015275716781616211
104,1744381965464,104,104,0,0.014380455017089844
105,1744381965593,105,105,0,0.014296293258666992
106,1744381965724,106,106,0,0.014307260513305664
107,1744381965852,107,107,0,0.014760732650756836
108,1744381965982,108,108,0,0.014875650405883789
109,1744381966115,109,109,0,0.014072418212890625
110,1744381966252,110,110,0,0.015373706817626953
111,1744381966385,111,111,0,0.01816844940185547
112,1744381966519,112,112,0,0.017235994338989258
113,1744381966651,113,113,0,0.018108367919921875
114,1744381966783,114,114,0,0.0165250301361084
115,1744381966914,115,115,0,0.019099712371826172
116,1744381967050,116,116,0,0.014074087142944336
117,1744381967180,117,117,0,0.014292240142822266
118,1744381967310,118,118,0,0.014268636703491211
119,1744381967439,119,119,0,0.014929533004760742
120,1744381967573,120,120,0,0.017364025115966797
121,1744381967706,121,121,0,0.01427769660949707
122,1744381967835,122,122,0,0.01487588882446289
123,1744381967965,123,123,0,0.014091968536376953
124,1744381968095,124,124,0,0.013674020767211914
125,1744381968224,125,125,0,0.016308069229125977
126,1744381968357,126,126,0,0.014019489288330078
127,1744381968486,127,127,0,0.014266729354858398
128,1744381968615,128,128,0,0.014315366744995117
129,1744381968744,129,129,0,0.014840841293334961
130,1744381968873,130,130,0,0.01827859878540039
131,1744381969006,131,131,0,0.014053106307983398
132,1744381969134,132,132,0,0.013540029525756836
133,1744381969263,133,133,0,0.014033794403076172
134,1744381969393,134,134,0,0.013390302658081055
135,1744381969522,135,135,0,0.014266252517700195
136,1744381969652,136,136,0,0.019318342208862305
137,1744381969787,137,137,0,0.01770925521850586
138,1744381969921,138,138,0,0.014111042022705078
139,1744381970050,139,139,0,0.013997793197631836
140,1744381970178,140,140,0,0.014071226119995117
141,1744381970307,141,141,0,0.0205533504486084
142,1744381970442,142,142,0,0.014075756072998047
143,1744381970571,143,143,0,0.012173652648925781
144,1744381970698,144,144,0,0.014074325561523438
145,1744381970826,145,145,0,0.014261245727539062
146,1744381970956,146,146,0,0.014207124710083008
147,1744381971086,147,147,0,0.014225006103515625
148,1744381971216,148,148,0,0.014322042465209961
149,1744381971350,149,149,0,0.014487981796264648
150,1744381971478,150,150,0,0.017252206802368164
