meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden,pogingen_tot_succes
1,1744279242351,1,1,0,0.18878412246704102,1
2,1744279242541,2,2,0,0.19918107986450195,1
3,1744279242740,3,3,0,0.20246505737304688,1
4,1744279242943,4,4,0,0.1969468593597412,1
5,1744279243140,5,5,0,0.1991264820098877,1
6,1744279243340,6,6,0,0.2002861499786377,1
7,1744279243540,7,7,0,0.1993706226348877,1
8,1744279243740,8,8,0,0.2005772590637207,1
9,1744279243941,9,9,0,0.1999194622039795,1
10,1744279244142,10,10,0,0.19873595237731934,1
11,1744279244341,11,11,0,0.20023798942565918,1
12,1744279244542,12,12,0,0.19931459426879883,1
13,1744279244742,13,13,0,0.1991724967956543,1
14,1744279244941,14,14,0,0.2007441520690918,1
15,1744279245143,15,15,0,0.19847869873046875,1
16,1744279245342,16,16,0,0.19915127754211426,1
17,1744279245541,17,17,0,0.20037245750427246,1
18,1744279245742,18,18,0,0.19910097122192383,1
19,1744279245941,19,19,0,0.19954371452331543,1
20,1744279246141,20,20,0,0.2007291316986084,1
21,1744279246343,21,21,0,0.19890499114990234,1
22,1744279246542,22,22,0,0.19825458526611328,1
23,1744279246741,23,23,0,0.2002856731414795,1
24,1744279246942,24,24,0,0.1992037296295166,1
25,1744279247141,25,25,0,0.19977521896362305,1
26,1744279247342,26,26,0,0.20012402534484863,1
27,1744279247542,27,27,0,0.19872713088989258,1
28,1744279247742,28,28,0,0.19908714294433594,1
29,1744279247942,29,29,0,0.20003485679626465,1
30,1744279248143,30,30,0,0.1985466480255127,1
31,1744279248342,31,31,0,0.20017147064208984,1
32,1744279248543,32,32,0,0.19817733764648438,1
33,1744279248741,33,33,0,0.19962596893310547,1
34,1744279248942,34,34,0,0.19971537590026855,1
35,1744279249142,35,35,0,0.19923067092895508,1
36,1744279249342,36,36,0,0.19836139678955078,1
37,1744279249541,37,37,0,0.20007967948913574,1
38,1744279249741,38,38,0,0.19957399368286133,1
39,1744279249941,39,39,0,0.20016217231750488,1
40,1744279250142,40,40,0,0.20032858848571777,1
41,1744279250342,41,41,0,0.19947433471679688,1
42,1744279250542,42,42,0,0.20042157173156738,1
43,1744279250743,43,43,0,0.19922375679016113,1
44,1744279250942,44,44,0,0.19933557510375977,1
45,1744279251142,45,45,0,0.2002716064453125,1
46,1744279251343,46,46,0,0.19931674003601074,1
47,1744279251542,47,47,0,0.1995851993560791,1
48,1744279251743,48,48,0,0.19980239868164062,1
49,1744279251943,49,49,0,0.1992652416229248,1
50,1744279252142,50,50,0,0.19960284233093262,1
51,1744279252343,51,51,0,0.19967389106750488,1
52,1744279252543,52,52,0,0.1997387409210205,1
53,1744279252743,53,53,0,0.19870734214782715,1
54,1744279252942,54,54,0,0.2005176544189453,1
55,1744279253143,55,55,0,0.19845843315124512,1
56,1744279253342,56,56,0,0.20027899742126465,1
57,1744279253543,57,57,0,0.20023679733276367,1
58,1744279253743,58,58,0,0.19945359230041504,1
59,1744279253943,59,59,0,0.20082354545593262,1
60,1744279254145,60,60,0,0.19871091842651367,1
61,1744279254344,61,61,0,0.1991424560546875,1
62,1744279254544,62,62,0,0.19974946975708008,1
63,1744279254744,63,63,0,0.1993722915649414,1
64,1744279254944,64,64,0,0.1994481086730957,1
65,1744279255144,65,65,0,0.1996927261352539,1
66,1744279255344,66,66,0,0.19922852516174316,1
67,1744279255543,67,67,0,0.19925189018249512,1
68,1744279255743,68,68,0,0.20081830024719238,1
69,1744279255944,69,69,0,0.1984264850616455,1
70,1744279256143,70,70,0,0.19994282722473145,1
71,1744279256344,71,71,0,0.1992807388305664,1
72,1744279256544,72,72,0,0.19927501678466797,1
73,1744279256743,73,73,0,0.1992659568786621,1
74,1744279256943,74,74,0,0.20031404495239258,1
75,1744279257144,75,75,0,0.19926071166992188,1
76,1744279257343,76,76,0,0.20031189918518066,1
77,1744279257544,77,77,0,0.20022034645080566,1
78,1744279257744,78,78,0,0.19967126846313477,1
79,1744279257944,79,79,0,0.20055055618286133,1
80,1744279258146,80,80,0,0.19934535026550293,1
81,1744279258346,81,81,0,0.19855666160583496,1
82,1744279258545,82,82,0,0.2002882957458496,1
83,1744279258746,83,83,0,0.1986370086669922,1
84,1744279258945,84,84,0,0.19862794876098633,1
85,1744279259144,85,85,0,0.2001781463623047,1
86,1744279259345,86,86,0,0.19935202598571777,1
87,1744279259545,87,87,0,0.19922828674316406,1
88,1744279259744,88,88,0,0.2003769874572754,1
89,1744279259945,89,89,0,0.19911527633666992,1
90,1744279260144,90,90,0,0.19936847686767578,1
91,1744279260344,91,91,0,0.2001485824584961,1
92,1744279260544,92,92,0,0.19942450523376465,1
93,1744279260744,93,93,0,0.1994163990020752,1
94,1744279260944,94,94,0,0.20025229454040527,1
95,1744279261144,95,95,0,0.19967961311340332,1
96,1744279261345,96,96,0,0.19997739791870117,1
97,1744279261545,97,97,0,0.20062947273254395,1
98,1744279261746,98,98,0,0.19923710823059082,1
99,1744279261945,99,99,0,0.20079517364501953,1
100,1744279262146,100,100,0,0.1991879940032959,1
